name,player_id,player_position,actual,team_position,start,team_id
Daniel Jones,677,QB,,QB,True,1002102271125192704
Nick Chubb,910,RB,,RB1,True,1002102271125192704
Joe Mixon,1106,RB,,RB2,True,1002102271125192704
A.J. Brown,722,WR,,WR1,True,1002102271125192704
Deebo Samuel,754,WR,,WR2,True,1002102271125192704
George Pickens,219,WR,,WR3,True,1002102271125192704
Dalton Schultz,990,TE,,TE,True,1002102271125192704
Javonte Williams,346,RB,,FLEX,True,1002102271125192704
NE,5172,DST,,DEF,True,1002102271125192704
JAX,5165,DST,,BN,False,1002102271125192704
Luke Musgrave,69,TE,,BN,False,1002102271125192704
Rashid Shaheed,315,WR,,BN,False,1002102271125192704
Keaontay Ingram,191,RB,,BN,False,1002102271125192704
Kenny Pickett,150,QB,,BN,False,1002102271125192704
Jahan Dotson,212,WR,,BN,False,1002102271125192704
Jake Ferguson,255,TE,,BN,False,1002102271125192704
Gabriel Davis,560,WR,,BN,False,1002102271125192704
Isaiah Hodgins,564,WR,,BN,False,1002102271125192704
Gus Edwards,1008,RB,,BN,False,1002102271125192704
Geno Smith,1883,QB,,BN,False,1002102271125192704
Lamar Jackson,893,QB,,QB,True,1002203259987210240
Jahmyr Gibbs,16,RB,,RB1,True,1002203259987210240
Alvin Kamara,1107,RB,,RB2,True,1002203259987210240
Stefon Diggs,1541,WR,,WR1,True,1002203259987210240
Amon-Ra St. Brown,377,WR,,WR2,True,1002203259987210240
Mike Evans,1716,WR,,WR3,True,1002203259987210240
George Kittle,1187,TE,,TE,True,1002203259987210240
Kadarius Toney,379,WR,,FLEX,True,1002203259987210240
KC,5166,DST,,DEF,True,1002203259987210240
BUF,5154,DST,,BN,False,1002203259987210240
Jaylen Warren,199,RB,,BN,False,1002203259987210240
Sam Howell,151,QB,,BN,False,1002203259987210240
Justyn Ross,220,WR,,BN,False,1002203259987210240
Deon Jackson,367,RB,,BN,False,1002203259987210240
Tyler Conklin,975,TE,,BN,False,1002203259987210240
Courtland Sutton,930,WR,,BN,False,1002203259987210240
Raheem Mostert,1651,RB,,BN,False,1002203259987210240
Cordarrelle Patterson,1957,RB,,BN,False,1002203259987210240
Ryan Tannehill,2082,QB,,BN,False,1002203259987210240
Dalton Kincaid,67,TE,,BN,False,1002203259987210240
Deshaun Watson,1088,QB,,QB,True,399364577348837376
Derrick Henry,1303,RB,,RB1,True,399364577348837376
Dameon Pierce,174,RB,,RB2,True,399364577348837376
Calvin Ridley,929,WR,,WR1,True,399364577348837376
Christian Watson,245,WR,,WR2,True,399364577348837376
Michael Pittman,557,WR,,WR3,True,399364577348837376
Travis Kelce,1976,TE,,TE,True,399364577348837376
Diontae Johnson,770,WR,,FLEX,True,399364577348837376
TB,5180,DST,,DEF,True,399364577348837376
BAL,5153,DST,,BN,False,399364577348837376
ATL,5152,DST,,BN,False,399364577348837376
Aaron Rodgers,3147,QB,,BN,False,399364577348837376
Marvin Mims,43,WR,,BN,False,399364577348837376
Devon Achane,21,RB,,BN,False,399364577348837376
Tank Bigsby,18,RB,,BN,False,399364577348837376
Trey McBride,250,TE,,BN,False,399364577348837376
Cade Otton,258,TE,,BN,False,399364577348837376
Rashod Bateman,383,WR,,BN,False,399364577348837376
Baker Mayfield,890,QB,,BN,False,399364577348837376
Kareem Hunt,1113,RB,,BN,False,399364577348837376
Justin Herbert,494,QB,,QB,True,744782197076164608
Tony Pollard,703,RB,,RB1,True,744782197076164608
Isiah Pacheco,206,RB,,RB2,True,744782197076164608
Cooper Kupp,1139,WR,,WR1,True,744782197076164608
DK Metcalf,720,WR,,WR2,True,744782197076164608
Brandon Aiyuk,555,WR,,WR3,True,744782197076164608
Dallas Goedert,974,TE,,TE,True,744782197076164608
Antonio Gibson,567,RB,,FLEX,True,744782197076164608
LAR,5168,DST,,DEF,True,744782197076164608
DAL,5159,DST,,BN,False,744782197076164608
Tyjae Spears,19,RB,,BN,False,744782197076164608
Sean Tucker,20,RB,,BN,False,744782197076164608
Puka Nacua,65,WR,,BN,False,744782197076164608
Brock Purdy,156,QB,,BN,False,744782197076164608
Skyy Moore,222,WR,,BN,False,744782197076164608
Brian Robinson,173,RB,,BN,False,744782197076164608
Romeo Doubs,235,WR,,BN,False,744782197076164608
Nico Collins,380,WR,,BN,False,744782197076164608
Juwan Johnson,576,TE,,BN,False,744782197076164608
Michael Gallup,946,WR,,BN,False,744782197076164608
Trevor Lawrence,327,QB,,QB,True,1002241744664203264
Najee Harris,344,RB,,RB1,True,1002241744664203264
Miles Sanders,697,RB,,RB2,True,1002241744664203264
Justin Jefferson,551,WR,,WR1,True,1002241744664203264
Jaylen Waddle,374,WR,,WR2,True,1002241744664203264
Marquise Brown,723,WR,,WR3,True,1002241744664203264
Pat Freiermuth,421,TE,,TE,True,1002241744664203264
Rachaad White,178,RB,,FLEX,True,1002241744664203264
WAS,5182,DST,,DEF,True,1002241744664203264
PIT,5177,DST,,BN,False,1002241744664203264
Zay Flowers,44,WR,,BN,False,1002241744664203264
Michael Mayer,66,TE,,BN,False,1002241744664203264
Bryce Young,2,QB,,BN,False,1002241744664203264
Chase Brown,35,RB,,BN,False,1002241744664203264
Jerome Ford,170,RB,,BN,False,1002241744664203264
Tyler Allgeier,169,RB,,BN,False,1002241744664203264
Darnell Mooney,599,WR,,BN,False,1002241744664203264
Mike White,898,QB,,BN,False,1002241744664203264
Tyler Higbee,1354,TE,,BN,False,1002241744664203264
Rashee Rice,48,WR,,BN,False,1002241744664203264
Dak Prescott,1297,QB,,QB,True,1002261056279900160
Saquon Barkley,904,RB,,RB1,True,1002261056279900160
Rhamondre Stevenson,349,RB,,RB2,True,1002261056279900160
Garrett Wilson,210,WR,,WR1,True,1002261056279900160
Chris Godwin,1138,WR,,WR2,True,1002261056279900160
Brandin Cooks,1719,WR,,WR3,True,1002261056279900160
T.J. Hockenson,756,TE,,TE,True,1002261056279900160
Michael Thomas,1329,WR,,FLEX,True,1002261056279900160
SEA,5178,DST,,DEF,True,1002261056279900160
NYJ,5175,DST,,BN,False,1002261056279900160
Jordan Love,497,QB,,BN,False,1002261056279900160
Hunter Renfrow,741,WR,,BN,False,1002261056279900160
Damien Harris,693,RB,,BN,False,1002261056279900160
Noah Fant,755,TE,,BN,False,1002261056279900160
Marquez Valdes-Scantling,993,WR,,BN,False,1002261056279900160
Rashaad Penny,908,RB,,BN,False,1002261056279900160
Hayden Hurst,980,TE,,BN,False,1002261056279900160
Zay Jones,1151,WR,,BN,False,1002261056279900160
Odell Beckham,1724,WR,,BN,False,1002261056279900160
Jimmy Garoppolo,1757,QB,,BN,False,1002261056279900160
Joe Burrow,492,QB,,QB,True,733553479255191552
Dalvin Cook,1103,RB,,RB1,True,733553479255191552
David Montgomery,689,RB,,RB2,True,733553479255191552
CeeDee Lamb,547,WR,,WR1,True,733553479255191552
Davante Adams,1720,WR,,WR2,True,733553479255191552
Amari Cooper,1530,WR,,WR3,True,733553479255191552
Kyle Pitts,419,TE,,TE,True,733553479255191552
Terry McLaurin,727,WR,,FLEX,True,733553479255191552
MIA,5170,DST,,DEF,True,733553479255191552
IND,5164,DST,,BN,False,733553479255191552
DET,5161,DST,,BN,False,733553479255191552
Kendre Miller,25,RB,,BN,False,733553479255191552
Evan Hull,34,RB,,BN,False,733553479255191552
Elijah Moore,378,WR,,BN,False,733553479255191552
Elijah Mitchell,353,RB,,BN,False,733553479255191552
Jakobi Meyers,745,WR,,BN,False,733553479255191552
Taysom Hill,1241,TE,,BN,False,733553479255191552
Gerald Everett,1175,TE,,BN,False,733553479255191552
Ezekiel Elliott,1302,RB,,BN,False,733553479255191552
Jared Goff,1288,QB,,BN,False,733553479255191552
Patrick Mahomes,1091,QB,,QB,True,1002293786724126720
Travis Etienne,343,RB,,RB1,True,1002293786724126720
Aaron Jones,1194,RB,,RB2,True,1002293786724126720
Tyreek Hill,1371,WR,,WR1,True,1002293786724126720
Jerry Jeudy,548,WR,,WR2,True,1002293786724126720
Tyler Lockett,1542,WR,,WR3,True,1002293786724126720
Cole Kmet,582,TE,,TE,True,1002293786724126720
AJ Dillon,520,RB,,FLEX,True,1002293786724126720
NO,5173,DST,,DEF,True,1002293786724126720
LV,5169,DST,,BN,False,1002293786724126720
GB,5162,DST,,BN,False,1002293786724126720
Jordan Addison,40,WR,,BN,False,1002293786724126720
Zach Charbonnet,23,RB,,BN,False,1002293786724126720
Jalin Hyatt,37,WR,,BN,False,1002293786724126720
Ty Chandler,180,RB,,BN,False,1002293786724126720
Chigoziem Okonkwo,266,TE,,BN,False,1002293786724126720
K.J. Osborn,600,WR,,BN,False,1002293786724126720
Matthew Stafford,2621,QB,,BN,False,1002293786724126720
D'Onta Foreman,1109,RB,,BN,False,1002293786724126720
Derek Carr,1689,QB,,BN,False,1002293786724126720
Jalen Hurts,498,QB,,QB,True,1002607082813050880
Kenneth Walker III,168,RB,,RB1,True,1002607082813050880
D'Andre Swift,512,RB,,RB2,True,1002607082813050880
Ja'Marr Chase,371,WR,,WR1,True,1002607082813050880
DeVonta Smith,372,WR,,WR2,True,1002607082813050880
Drake London,208,WR,,WR3,True,1002607082813050880
Sam LaPorta,68,TE,,TE,True,1002607082813050880
Christian Kirk,933,WR,,FLEX,True,1002607082813050880
SF,5179,DST,,DEF,True,1002607082813050880
NYG,5174,DST,,BN,False,1002607082813050880
C.J. Stroud,4,QB,,BN,False,1002607082813050880
Deuce Vaughn,30,RB,,BN,False,1002607082813050880
Nathaniel Dell,58,WR,,BN,False,1002607082813050880
Treylon Burks,209,WR,,BN,False,1002607082813050880
Isaiah Likely,254,TE,,BN,False,1002607082813050880
Khalil Herbert,361,RB,,BN,False,1002607082813050880
Devin Singletary,698,RB,,BN,False,1002607082813050880
Dawson Knox,761,TE,,BN,False,1002607082813050880
Josh Reynolds,1143,WR,,BN,False,1002607082813050880
Jerick McKinnon,1758,RB,,BN,False,1002607082813050880
Tua Tagovailoa,493,QB,,QB,True,1002623786170167296
Austin Ekeler,1229,RB,,RB1,True,1002623786170167296
Josh Jacobs,691,RB,,RB2,True,1002623786170167296
Keenan Allen,1954,WR,,WR1,True,1002623786170167296
DeAndre Hopkins,1964,WR,,WR2,True,1002623786170167296
Mike Williams,1129,WR,,WR3,True,1002623786170167296
Darren Waller,1574,TE,,TE,True,1002623786170167296
Cam Akers,514,RB,,FLEX,True,1002623786170167296
TEN,5181,DST,,DEF,True,1002623786170167296
CIN,5157,DST,,BN,False,1002623786170167296
CAR,5155,DST,,BN,False,1002623786170167296
Greg Dulcich,253,TE,,BN,False,1002623786170167296
Rondale Moore,373,WR,,BN,False,1002623786170167296
Kenneth Gainwell,345,RB,,BN,False,1002623786170167296
Van Jefferson,573,WR,,BN,False,1002623786170167296
Donovan Peoples-Jones,572,WR,,BN,False,1002623786170167296
Mike Gesicki,972,TE,,BN,False,1002623786170167296
Adam Thielen,1832,WR,,BN,False,1002623786170167296
Russell Wilson,2088,QB,,BN,False,1002623786170167296
Kirk Cousins,2085,QB,,BN,False,1002623786170167296
Justin Fields,328,QB,,QB,True,1002663459793809408
Bijan Robinson,15,RB,,RB1,True,1002663459793809408
J.K. Dobbins,515,RB,,RB2,True,1002663459793809408
Chris Olave,211,WR,,WR1,True,1002663459793809408
D.J. Moore,935,WR,,WR2,True,1002663459793809408
Quentin Johnston,42,WR,,WR3,True,1002663459793809408
Mark Andrews,971,TE,,TE,True,1002663459793809408
Evan Engram,1164,TE,,FLEX,True,1002663459793809408
LAC,5167,DST,,DEF,True,1002663459793809408
DEN,5160,DST,,BN,False,1002663459793809408
Anthony Richardson,6,QB,,BN,False,1002663459793809408
Desmond Ridder,155,QB,,BN,False,1002663459793809408
James Cook,172,RB,,BN,False,1002663459793809408
Chuba Hubbard,351,RB,,BN,False,1002663459793809408
Allen Lazard,932,WR,,BN,False,1002663459793809408
Jamaal Williams,1114,RB,,BN,False,1002663459793809408
Tyler Boyd,1327,WR,,BN,False,1002663459793809408
Roschon Johnson,29,RB,,BN,False,1002663459793809408
Jonathan Mingo,51,WR,,BN,False,1002663459793809408
Jayden Reed,38,WR,,BN,False,1002663459793809408
Josh Allen,889,QB,,QB,True,1002969872512540672
Christian McCaffrey,1105,RB,,RB1,True,1002969872512540672
Jonathan Taylor,517,RB,,RB2,True,1002969872512540672
Tee Higgins,550,WR,,WR1,True,1002969872512540672
Jaxon Smith-Njigba,39,WR,,WR2,True,1002969872512540672
JuJu Smith-Schuster,1131,WR,,WR3,True,1002969872512540672
David Njoku,1167,TE,,TE,True,1002969872512540672
Breece Hall,165,RB,,FLEX,True,1002969872512540672
PHI,5176,DST,,DEF,True,1002969872512540672
CLE,5158,DST,,BN,False,1002969872512540672
Jameson Williams,213,WR,,BN,False,1002969872512540672
Alec Pierce,224,WR,,BN,False,1002969872512540672
Wan'Dale Robinson,214,WR,,BN,False,1002969872512540672
Mac Jones,331,QB,,BN,False,1002969872512540672
Irv Smith Jr.,759,TE,,BN,False,1002969872512540672
Alexander Mattison,772,RB,,BN,False,1002969872512540672
Kyler Murray,674,QB,,BN,False,1002969872512540672
D.J. Chark,968,WR,,BN,False,1002969872512540672
Samaje Perine,1108,RB,,BN,False,1002969872512540672
James Conner,1121,RB,,BN,False,1002969872512540672
