fantasymath_id,position,actual
cam-newton,QB,4.440000000000001
jared-goff,QB,9.32
dak-prescott,QB,33.4
deshaun-watson,QB,29.36
kirk-cousins,QB,14.280000000000001
matt-ryan,QB,17.28
baker-mayfield,QB,7.76
marcus-mariota,QB,23.04
kyler-murray,QB,20.3
matthew-stafford,QB,26.64
russell-wilson,QB,15.200000000000001
andy-dalton,QB,19.8
tom-brady,QB,25.36
ben-roethlisberger,QB,9.74
patrick-mahomes,QB,27.32
nick-foles,QB,7.0
josh-allen,QB,15.48
sam-darnold,QB,12.2
lamar-jackson,QB,33.52
jacoby-brissett,QB,15.82
aaron-rodgers,QB,11.440000000000001
mitch-trubisky,QB,7.42
derek-carr,QB,14.559999999999999
joe-flacco,QB,14.06
jameis-winston,QB,6.26
jimmy-garoppolo,QB,10.120000000000001
carson-wentz,QB,25.02
case-keenum,QB,26.8
christian-mccaffrey,RB,42.900000000000006
darrell-henderson,RB,0.0
saquon-barkley,RB,17.9
ezekiel-elliott,RB,13.3
tony-pollard,RB,2.4000000000000004
wayne-gallman,RB,13.100000000000001
alvin-kamara,RB,23.900000000000002
duke-johnson,RB,0.0
latavius-murray,RB,12.7
dalvin-cook,RB,26.0
devonta-freeman,RB,4.1000000000000005
alexander-mattison,RB,4.9
ameer-abdullah,RB,0.8
nick-chubb,RB,11.5
derrick-henry,RB,28.9
dontrell-hilliard,RB,8.8
david-johnson,RB,25.700000000000003
chase-edmonds,RB,0.5
ty-johnson,RB,0.6000000000000001
chris-carson,RB,24.0
joe-mixon,RB,3.7
rashaad-penny,RB,1.8
giovani-bernard,RB,8.3
james-conner,RB,10.5
sony-michel,RB,1.4000000000000001
jaylen-samuels,RB,1.6
rex-burkhead,RB,13.5
leonard-fournette,RB,11.4
damien-williams,RB,18.5
darwin-thompson,RB,1.3
ryquell-armstead,RB,0.0
leveon-bell,RB,0.0
devin-singletary,RB,14.8
ty-montgomery,RB,0.4
mark-ingram,RB,22.700000000000003
kenyan-drake,RB,4.7
justice-hill,RB,2.7
kalen-ballage,RB,2.2
gus-edwards,RB,5.6000000000000005
austin-ekeler,RB,39.400000000000006
marlon-mack,RB,25.400000000000002
nyheim-hines,RB,5.7
david-montgomery,RB,5.5
aaron-jones,RB,4.9
mike-davis,RB,9.600000000000001
jamaal-williams,RB,3.5
josh-jacobs,RB,24.3
phillip-lindsay,RB,10.6
royce-freeman,RB,7.1000000000000005
jalen-richard,RB,0.30000000000000004
tevin-coleman,RB,7.6000000000000005
matt-breida,RB,3.7
peyton-barber,RB,6.5
ronald-jones,RB,10.3
dare-ogunbowale,RB,7.300000000000001
miles-sanders,RB,3.7
jordan-howard,RB,7.5
brandin-cooks,WR,5.9
robert-woods,WR,16.6
cooper-kupp,WR,11.600000000000001
dj-moore,WR,12.600000000000001
curtis-samuel,WR,6.2
amari-cooper,WR,22.6
sterling-shepard,WR,10.2
michael-gallup,WR,22.8
randall-cobb,WR,16.9
michael-thomas,WR,22.3
deandre-hopkins,WR,31.1
will-fuller,WR,8.9
trequan-smith,WR,10.6
kenny-stills,WR,12.7
julio-jones,WR,15.1
adam-thielen,WR,13.3
stefon-diggs,WR,5.7
calvin-ridley,WR,16.4
odell-beckham,WR,14.100000000000001
jarvis-landry,WR,11.7
corey-davis,WR,0.0
adam-humphries,WR,1.5
rashard-higgins,WR,6.6000000000000005
aj-brown,WR,13.0
kenny-golladay,WR,14.2
marvin-jones,WR,10.0
christian-kirk,WR,10.4
danny-amendola,WR,0.0
keesean-johnson,WR,9.600000000000001
tyler-lockett,WR,11.4
tyler-boyd,WR,14.3
dk-metcalf,WR,12.9
juju-smith-schuster,WR,13.8
josh-gordon,WR,0.0
james-washington,WR,7.1000000000000005
phillip-dorsett,WR,25.5
tyreek-hill,WR,4.1
dede-westbrook,WR,14.2
sammy-watkins,WR,46.8
mecole-hardman,WR,0.0
dj-chark,WR,24.6
chris-conley,WR,21.700000000000003
robby-anderson,WR,4.1
jamison-crowder,WR,24.3
zay-jones,WR,3.8
cole-beasley,WR,9.0
albert-wilson,WR,3.4000000000000004
devante-parker,WR,10.5
miles-boykin,WR,7.5
marquise-brown,WR,30.700000000000003
keenan-allen,WR,26.3
ty-hilton,WR,28.700000000000003
devin-funchess,TE,6.2
parris-campbell,WR,1.8
cordarrelle-patterson,RB,1.1
davante-adams,WR,7.6
allen-robinson,WR,17.200000000000003
marquez-valdesscantling,WR,9.2
anthony-miller,WR,0.0
emmanuel-sanders,WR,19.6
courtland-sutton,WR,19.0
hunter-renfrow,WR,3.3
mike-evans,WR,4.800000000000001
chris-godwin,WR,14.3
dante-pettis,WR,1.7000000000000002
marquise-goodwin,WR,1.7000000000000002
deebo-samuel,WR,4.7
breshad-perriman,WR,3.0
desean-jackson,WR,35.4
nelson-agholor,WR,3.1
terry-mclaurin,WR,23.5
gerald-everett,TE,1.7000000000000002
ian-thomas,TE,0.0
tyler-higbee,TE,12.0
evan-engram,TE,28.6
jared-cook,TE,5.7
jordan-akins,TE,2.7
austin-hooper,TE,16.7
kyle-rudolph,TE,0.0
david-njoku,TE,13.7
jonnu-smith,TE,2.7
tj-hockenson,TE,25.1
jesse-james,TE,0.0
will-dissly,TE,2.2
cj-uzomah,TE,10.600000000000001
nick-vannett,TE,3.6
travis-kelce,TE,11.8
geoff-swaim,TE,5.7
dawson-knox,TE,1.1
ryan-griffin,QB,4.0
mark-andrews,TE,24.8
mike-gesicki,TE,5.1
hayden-hurst,TE,7.1000000000000005
nick-boyle,TE,5.6
hunter-henry,TE,10.0
jack-doyle,TE,3.0
jimmy-graham,TE,12.0
adam-shaheen,TE,1.6
darren-waller,TE,14.0
noah-fant,TE,4.4
george-kittle,TE,13.4
oj-howard,TE,5.2
cameron-brate,TE,2.8
zach-ertz,TE,10.4
dallas-goedert,TE,3.6
greg-zuerlein,PK,13.2
joey-slye,PK,9.8
brett-maher,PK,0.0
aldrick-rosas,PK,4.8
wil-lutz,PK,13.7
kaimi-fairbairn,PK,4.0
dan-bailey,PK,4.0
austin-seibert,PK,-2.0
cairo-santos,PK,14.0
matt-prater,PK,11.8
zane-gonzalez,PK,13.4
jason-myers,PK,3.0
randy-bullock,PK,5.6
stephen-gostkowski,PK,17.0
chris-boswell,PK,1.9
harrison-butker,PK,17.4
josh-lambo,PK,8.0
justin-tucker,PK,11.4
mason-crosby,PK,4.9
eddy-pineiro,PK,0.0
brandon-mcmanus,PK,7.1
daniel-carlson,PK,5.9
robbie-gould,PK,10.2
matt-gay,PK,5.1
jake-elliott,PK,5.2
dustin-hopkins,PK,11.899999999999999
lar-dst,DST,10.0
car-dst,DST,3.0
dal-dst,DST,9.0
nyg-dst,DST,-3.0
no-dst,DST,9.0
hou-dst,DST,0.0
min-dst,DST,17.0
atl-dst,DST,2.0
cle-dst,DST,1.0
ten-dst,DST,21.0
det-dst,DST,10.0
ari-dst,DST,6.0
sea-dst,DST,13.0
cin-dst,DST,9.0
ne-dst,DST,10.0
pit-dst,DST,-2.0
kc-dst,DST,6.0
jax-dst,DST,-3.0
nyj-dst,DST,19.0
buf-dst,DST,10.0
bal-dst,DST,11.0
mia-dst,DST,0.0
lac-dst,DST,5.0
ind-dst,DST,3.0
chi-dst,DST,9.0
gb-dst,DST,14.0
den-dst,DST,1.0
lv-dst,DST,0.0
sf-dst,DST,15.0
tb-dst,DST,2.0
phi-dst,DST,2.0
was-dst,DST,-2.0
drew-brees,QB,0.0
malcolm-brown,RB,0.0
kareem-hunt,RB,0.0
james-white,RB,0.0
